Дата находки,Источник,Компания,Телефон,Email,Сайт,Ниша,Сложность (оценка),Проблема,Черновик сообщения,Место (Place ID)
2026-08-04,Google Maps: auto repair shop in Lisbon,MyForce Lapa,21 013 8665,lapa@myforce.pt,https://www.myforce.pt/oficinas-auto/lisboa/myforce-lapa,auto repair shop,Низкая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out MyForce Lapa's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJr1bioXM1GQ0RtO75mZWpofM
2026-08-04,Google Maps: yoga studio in Lisbon,Ministry of Yoga,937 237 228,—,http://www.moyportugal.com/,yoga studio,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out Ministry of Yoga's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJ2R8LLoczGQ0RFP_g0EtILvQ
2026-08-04,Google Maps: yoga studio in Lisbon,Yoga Room Lisbon ⎟Yoga & Reformer Pilates,21 314 0438,info.lisbon@yoga-room.pt,http://www.yoga-room.pt/,yoga studio,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out Yoga Room Lisbon ⎟Yoga & Reformer Pilates's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJW9k38OgzGQ0R3TXn2uvb7gA
2026-08-04,Google Maps: yoga studio in Lisbon,Leela Lisboa,—,—,https://www.leelalisboa.com/,yoga studio,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out Leela Lisboa's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJsye_qakzGQ0R1PQfYR9ZaFg
2026-08-04,Google Maps: yoga studio in Lisbon,Agora Yoga Lisboa,937 798 055,—,http://www.agora-lisboa.com/,yoga studio,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out Agora Yoga Lisboa's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJQb9VPl8zGQ0RGcv3A6FTKmA
2026-08-04,"Google Maps: hair salon in Florianopolis, Brazil",Obra Prima Cabeleireiros,(48) 99201-5098,—,https://www.instagram.com/obraprimacabeleireiros/,hair salon,Средняя,Вместо сайта — страница Instagram (своего домена/сайта нет).,"Olá! Percebi que a Obra Prima Cabeleireiros usa uma página do Instagram em vez de um site próprio — posso montar um site simples para vocês, para que as pessoas encontrem e marquem direto com vocês (e vocês tenham domínio e marca próprios). Sem compromisso, só avisar se for útil.",ChIJ-5LPDTs4J5URYtJgjH1L0eQ
2026-08-04,"Google Maps: hair salon in Florianopolis, Brazil",Fine Hair & Aesthetics,(48) 3023-1330,—,https://www.instagram.com/finebelezaebemestar/,hair salon,Средняя,Вместо сайта — страница Instagram (своего домена/сайта нет).,"Olá! Percebi que a Fine Hair & Aesthetics usa uma página do Instagram em vez de um site próprio — posso montar um site simples para vocês, para que as pessoas encontrem e marquem direto com vocês (e vocês tenham domínio e marca próprios). Sem compromisso, só avisar se for útil.",ChIJqyPEWRY4J5URXM9b8oaltfE
2026-08-04,"Google Maps: hair salon in Florianopolis, Brazil",Lounge Beleza,(48) 3232-0003,—,(нет сайта),hair salon,Средняя,Сайта нет вообще — самый простой питч: помочь появиться онлайн.,"Olá! Percebi que a Lounge Beleza ainda não tem site — posso montar um simples para que as pessoas encontrem e marquem horário online. Sem compromisso, só avisar se for útil.",ChIJLS_rqrA-J5URVo_xRKpuUQE
2026-08-04,"Google Maps: hair salon in Florianopolis, Brazil",Hair Address Salão de Beleza e Mega Hair em Florianópolis,(48) 99925-9832,—,http://hairaddress.com.br/,hair salon,Средняя,нет HTTPS,"Olá! Dei uma olhada no site da Hair Address Salão de Beleza e Mega Hair em Florianópolis — percebi que tem nota 58/100 no teste de velocidade mobile do Google, o que provavelmente está custando visitantes. Posso enviar um plano rápido de correção se for útil, sem compromisso.",ChIJic4tlT04J5URicY6pRIA4S8
2026-08-04,"Google Maps: hair salon in Florianopolis, Brazil",Madre Hair Cabeleireiros - Salão de beleza em Florianópolis,(48) 4009-3335,—,http://www.madrehair.com.br/,hair salon,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Madre Hair Cabeleireiros - Salão de beleza em Florianópolis e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJk0Xe__s4J5URpBWgXHtj9Io
2026-08-04,"Google Maps: dentist in Florianopolis, Brazil",Odontoclinic Florianópolis,(48) 3030-1515,—,https://odontoclinic.com.br/unidade/florianopolis,dentist,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Odontoclinic Florianópolis e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJs4wCYx84J5UR6tIvtf3qmRA
2026-08-04,"Google Maps: dentist in Florianopolis, Brazil",Oral Unic Implantes Florianópolis,(48) 3027-5500,—,http://oralunicflorianopolis.com.br/,dentist,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Oral Unic Implantes Florianópolis e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJB884piI4J5URS9Tq2s7zulE
2026-08-04,"Google Maps: dentist in Florianopolis, Brazil",Dentistas Florianópolis,(48) 3223-2460,—,https://dracinaraduarte.com/,dentist,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Dentistas Florianópolis e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJu3W_L3Y5J5URatgO6ePeGLQ
2026-08-04,"Google Maps: dentist in Florianopolis, Brazil",Dra. Priscila Andrade,(48) 99130-2076,—,https://drapriscilaandrade.com/,dentist,Средняя,не адаптирован под мобильные (нет viewport),"Olá! Dei uma olhada no site da Dra. Priscila Andrade — percebi que não é bem exibido em dispositivos móveis, o que provavelmente está custando visitantes. Posso enviar um plano rápido de correção se for útil, sem compromisso.",ChIJTQICnC45J5URmxReIdT5xAQ
2026-08-04,"Google Maps: plumber in Florianopolis, Brazil",Pereira Encanador,(48) 99960-8303,—,http://pereiraencanador.com.br/?utm_source=google&utm_medium=organic&utm_content=main_button&utm_campaign=gmb,plumber,Низкая,не адаптирован под мобильные (нет viewport); нет HTTPS,"Olá! Dei uma olhada no site da Pereira Encanador — percebi que não é bem exibido em dispositivos móveis, o que provavelmente está custando visitantes. Posso enviar um plano rápido de correção se for útil, sem compromisso.",ChIJu2vaMyNBJ5URTkkeRa1nGfU
2026-08-04,"Google Maps: plumber in Florianopolis, Brazil",Ilha Bella Serviços,(48) 3208-1703,adm@ilhabellaservicos.com.br,http://www.ilhabellaservicos.com.br/,plumber,Низкая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Ilha Bella Serviços e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJ8Y6oVBQ3J5URkitJZD8y_Fk
2026-08-04,"Google Maps: plumber in Florianopolis, Brazil",Marido de aluguel florianopolis,(48) 99155-9013,—,http://www.maridodealuguelfloripa.com/,plumber,Низкая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Marido de aluguel florianopolis e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJi4lQLR05J5URpdQqY1AT3e4
2026-08-04,"Google Maps: plumber in Florianopolis, Brazil",Brasil Encanadores Caça Vazamentos e Encanador em Florianópolis,(48) 3036-7007,—,https://brasilencanadores.com.br/,plumber,Низкая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Brasil Encanadores Caça Vazamentos e Encanador em Florianópolis e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJZQg21KcfFCERBjBPsR67bho
2026-08-04,"Google Maps: electrician in Florianopolis, Brazil",LC Soluções Elétricas,(48) 99173-5310,—,https://www.instagram.com/lc_solucoes_eletricas_sc?igsh=eHAwY256bnhwZWVt&utm_source=qr,electrician,Низкая,Вместо сайта — страница Instagram (своего домена/сайта нет).,"Olá! Percebi que a LC Soluções Elétricas usa uma página do Instagram em vez de um site próprio — posso montar um site simples para vocês, para que as pessoas encontrem e marquem direto com vocês (e vocês tenham domínio e marca próprios). Sem compromisso, só avisar se for útil.",ChIJl471A_hHJ5URAOHvMS5l4nc
2026-08-04,"Google Maps: electrician in Florianopolis, Brazil",Energy Floripa,(48) 98875-3641,—,http://energyfloripa.com.br/,electrician,Низкая,мобильная скорость 37/100 (Google PageSpeed); нет HTTPS,"Olá! Dei uma olhada no site da Energy Floripa — percebi que tem nota 37/100 no teste de velocidade mobile do Google, o que provavelmente está custando visitantes. Posso enviar um plano rápido de correção se for útil, sem compromisso.",ChIJNY0HiY9MekcRC84cdQZbNqE
2026-08-04,"Google Maps: electrician in Florianopolis, Brazil",LA Serviços Elétricos,(48) 98828-7501,—,https://leoaraujo08512.wixsite.com/laservioseltricos-1,electrician,Низкая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da LA Serviços Elétricos e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJxXeThrJHJ5URgDquZv8tBiM
2026-08-04,"Google Maps: auto repair shop in Florianopolis, Brazil",Auto Service Oficina Mecânica | Florianópolis - Manutenção e Reparo de Câmbio Automático,(48) 98501-0636,—,https://megalink.click/auto-service-oficina-mecanica/,auto repair shop,Низкая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Auto Service Oficina Mecânica | Florianópolis - Manutenção e Reparo de Câmbio Automático e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJZf6FJopJJ5UR47jOupDAvTA
2026-08-04,"Google Maps: auto repair shop in Florianopolis, Brazil",Auto Fix Oficina Mecânica,(48) 3024-6624,—,(нет сайта),auto repair shop,Низкая,Сайта нет вообще — самый простой питч: помочь появиться онлайн.,"Olá! Percebi que a Auto Fix Oficina Mecânica ainda não tem site — posso montar um simples para que as pessoas encontrem e marquem horário online. Sem compromisso, só avisar se for útil.",ChIJoYzalsU3J5URjr5zZSvpNjs
2026-08-04,"Google Maps: auto repair shop in Florianopolis, Brazil",Car Service Mecânica Geral,(48) 99848-5128,—,https://www.instagram.com/car_service_floripa/,auto repair shop,Низкая,Вместо сайта — страница Instagram (своего домена/сайта нет).,"Olá! Percebi que a Car Service Mecânica Geral usa uma página do Instagram em vez de um site próprio — posso montar um site simples para vocês, para que as pessoas encontrem e marquem direto com vocês (e vocês tenham domínio e marca próprios). Sem compromisso, só avisar se for útil.",ChIJX5SQwV5BJ5URwym1LOJiepM
2026-08-04,"Google Maps: auto repair shop in Florianopolis, Brazil",Nei Auto Service,(48) 3248-6064,—,https://instagram.com/neiautoservice?igshid=1dbr5mxqom831,auto repair shop,Низкая,Вместо сайта — страница Instagram (своего домена/сайта нет).,"Olá! Percebi que a Nei Auto Service usa uma página do Instagram em vez de um site próprio — posso montar um site simples para vocês, para que as pessoas encontrem e marquem direto com vocês (e vocês tenham domínio e marca próprios). Sem compromisso, só avisar se for útil.",ChIJL_4yXuw3J5URSeMfwxZ1nNw
2026-08-04,"Google Maps: yoga studio in Florianopolis, Brazil",Manipura Yoga Floripa,(48) 99981-7073,—,(нет сайта),yoga studio,Средняя,Сайта нет вообще — самый простой питч: помочь появиться онлайн.,"Olá! Percebi que a Manipura Yoga Floripa ainda não tem site — posso montar um simples para que as pessoas encontrem e marquem horário online. Sem compromisso, só avisar se for útil.",ChIJg4oI3PM5J5URoW_t7u79h7k
2026-08-04,"Google Maps: yoga studio in Florianopolis, Brazil",Espaço Nirodha | Aulas de Yoga | ESPAÇO PARA MULHERES| Centro Florianópolis,(48) 99181-2003,—,https://espaconirodha.com/,yoga studio,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Espaço Nirodha | Aulas de Yoga | ESPAÇO PARA MULHERES| Centro Florianópolis e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJDfIRKlM5J5UR88miJfL_g84
2026-08-04,"Google Maps: yoga studio in Florianopolis, Brazil",Hot Yoga Floripa,(48) 99997-9040,—,https://hotyogafloripa.com.br/,yoga studio,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Hot Yoga Floripa e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJi9OH2CE4J5UR-U-gvFVDfrA
2026-08-04,"Google Maps: yoga studio in Florianopolis, Brazil",Studio Ganesha,(48) 99972-0868,—,http://www.studioganesha.com.br/,yoga studio,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Studio Ganesha e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJ9Q9A0dw3J5URUB-nioBT4Cg
2026-08-04,"Google Maps: pet grooming in Florianopolis, Brazil",Banho e Tosa Tesoura de Ouro Trindade,(48) 98818-0855,—,https://www.instagram.com/tesouraadeouro/,pet grooming,Средняя,Вместо сайта — страница Instagram (своего домена/сайта нет).,"Olá! Percebi que a Banho e Tosa Tesoura de Ouro Trindade usa uma página do Instagram em vez de um site próprio — posso montar um site simples para vocês, para que as pessoas encontrem e marquem direto com vocês (e vocês tenham domínio e marca próprios). Sem compromisso, só avisar se for útil.",ChIJCfklWiE5J5URz8e84cy_BiI
2026-08-04,"Google Maps: pet grooming in Florianopolis, Brazil",All Pets Floripa,(48) 98468-8889,—,(нет сайта),pet grooming,Средняя,Сайта нет вообще — самый простой питч: помочь появиться онлайн.,"Olá! Percebi que a All Pets Floripa ainda não tem site — posso montar um simples para que as pessoas encontrem e marquem horário online. Sem compromisso, só avisar se for útil.",ChIJzSGyz2M5J5URyN4vZse6Mlw
2026-08-04,"Google Maps: boutique clothing store in Florianopolis, Brazil",Bless Boutique @blessboutique_ars,(48) 3025-5749,—,(нет сайта),boutique clothing store,Средняя,Сайта нет вообще — самый простой питч: помочь появиться онлайн.,"Olá! Percebi que a Bless Boutique @blessboutique_ars ainda não tem site — posso montar um simples para que as pessoas encontrem e marquem horário online. Sem compromisso, só avisar se for útil.",ChIJQ_7__yQ4J5UR1dPCHGZckEU
2026-08-04,"Google Maps: boutique clothing store in Florianopolis, Brazil",Ambiciosa Boutique,(48) 99698-6833,—,(нет сайта),boutique clothing store,Средняя,Сайта нет вообще — самый простой питч: помочь появиться онлайн.,"Olá! Percebi que a Ambiciosa Boutique ainda não tem site — posso montar um simples para que as pessoas encontrem e marquem horário online. Sem compromisso, só avisar se for útil.",ChIJM2okMkgDnK4R2dIKCkSSR6E
2026-08-04,"Google Maps: boutique clothing store in Florianopolis, Brazil",Mozão Floripa do Brás,(48) 99174-5008,—,(нет сайта),boutique clothing store,Средняя,Сайта нет вообще — самый простой питч: помочь появиться онлайн.,"Olá! Percebi que a Mozão Floripa do Brás ainda não tem site — posso montar um simples para que as pessoas encontrem e marquem horário online. Sem compromisso, só avisar se for útil.",ChIJORSeSSdIJ5UROwx4y35WNDY
2026-08-04,"Google Maps: boutique clothing store in Florianopolis, Brazil",Floripa Boho,(48) 98811-3756,—,(нет сайта),boutique clothing store,Средняя,Сайта нет вообще — самый простой питч: помочь появиться онлайн.,"Olá! Percebi que a Floripa Boho ainda não tem site — posso montar um simples para que as pessoas encontrem e marquem horário online. Sem compromisso, só avisar se for útil.",ChIJn_AFCNY5J5URvvz13ViOXOA
2026-08-04,"Google Maps: boutique clothing store in Florianopolis, Brazil",Santina Boutique,(48) 99634-6909,—,https://www.instagram.com/santinaboutique?igsh=bHcxbHozcmFncmo5,boutique clothing store,Средняя,Вместо сайта — страница Instagram (своего домена/сайта нет).,"Olá! Percebi que a Santina Boutique usa uma página do Instagram em vez de um site próprio — posso montar um site simples para vocês, para que as pessoas encontrem e marquem direto com vocês (e vocês tenham domínio e marca próprios). Sem compromisso, só avisar se for útil.",ChIJhy1_dSQ4J5URJmjkcecDgww
2026-08-04,"Google Maps: photographer in Florianopolis, Brazil",Thiago Mangrich Fotografia,(48) 99902-2790,—,http://www.thiagomangrich.com.br/,photographer,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Thiago Mangrich Fotografia e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJgQ6tK4k4J5URl2r-fbxhGgY
2026-08-04,"Google Maps: photographer in Florianopolis, Brazil",Larissa Passos fotografia,(48) 99808-2988,—,https://larissapassos.com.br/,photographer,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Larissa Passos fotografia e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJ7xgTPStDJ5URY-C_uGmEjUg
2026-08-04,"Google Maps: florist in Florianopolis, Brazil",Floricultura Dona Flor - Florianópolis,(48) 3234-1744,—,https://floriculturadonaflor.com.br/?utm_source=gmn&utm_medium=instagram&utm_campaign=venda,florist,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Floricultura Dona Flor - Florianópolis e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJS7xHVlY4J5URKQwRerVIPtc
2026-08-04,"Google Maps: florist in Florianopolis, Brazil",Floricultura Flowers Florianópolis,(48) 99961-1035,—,https://www.flowersflorianopolis.com.br/,florist,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Floricultura Flowers Florianópolis e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJt9dPmDBJJ5URrku3mivc5OM
2026-08-04,"Google Maps: florist in Florianopolis, Brazil",Floricultura Flora Betel - Florianópolis,(48) 3234-1622,—,https://floriculturaflorabetel.com/,florist,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.","Olá! Tentei acessar o site da Floricultura Flora Betel - Florianópolis e parece que está com problemas para carregar — quis avisar, porque isso pode estar custando visitantes. Posso dar uma olhada se for útil.",ChIJ4b6rC_w4J5URs38798nYxm4
2026-08-04,"Google Maps: florist in Florianopolis, Brazil",Floriculture Vandresa Horto Florestal,(48) 98468-8726,—,https://www.instagram.com/vandressa.garden/,florist,Средняя,Вместо сайта — страница Instagram (своего домена/сайта нет).,"Olá! Percebi que a Floriculture Vandresa Horto Florestal usa uma página do Instagram em vez de um site próprio — posso montar um site simples para vocês, para que as pessoas encontrem e marquem direto com vocês (e vocês tenham domínio e marca próprios). Sem compromisso, só avisar se for útil.",ChIJn-QaWW07J5URzWQpjy3w4oU
2026-08-04,"Google Maps: cleaning service in Florianopolis, Brazil",J.A FAXINAS - JACIANE ANDRADE DIAS,(48) 99633-4625,—,(нет сайта),cleaning service,Низкая,Сайта нет вообще — самый простой питч: помочь появиться онлайн.,"Olá! Percebi que a J.A FAXINAS - JACIANE ANDRADE DIAS ainda não tem site — posso montar um simples para que as pessoas encontrem e marquem horário online. Sem compromisso, só avisar se for útil.",ChIJcTtDJ5pDJ5URy3WiVKVPEZk
